address,adm_name,x,y
"г. Алматы Сауда орталыгы №1 Алматинская обл. , Талгарский район, п. Туздыбастау, ул. Жылкибая, 136",Алматинская область,77.061276,43.316818
"г. Алматы Алматинская область, Карасайский район, трасса Алматы-Бишкек",Алматы,76.945456,43.238286
"г. Алматы гипермаркет ""Carrefour"" г. Алматы, ул. Кабдолова, 1/4",Алматы,76.849588,43.236795
"г. Алматы ТРЦ ""MART"" кл. Рихарде Зорге, д. 18",Алматы,76.953514,43.335863
"г. Алматы ТД ""RASH"" мкр. 4, 10а (по пр. Абая, уг. ул. Алтынсарина)",Алматы,76.945456,43.238286
"г. Алматы мкр. 8, д. 9, по ул. Алтынсарина",Алматы,76.865686,43.224893
"г. Алматы ТЦ ""Белес"" мкр. Айнабулак - 2, д. 71 д",Алматы,76.915417,43.319711
"г. Алматы мкр. Ак-булак, ул. АЗТМ, 273",Алматы,76.823285,43.249687
"г. Алматы мкр. Аксай - 2, д. 12 (ул. Толе би уг. ул. Саина)",Алматы,76.837119,43.240164
"г. Алматы Супермаркет ""Рамстор-Алмагуль"" мкр. Алмагуль, 18-А, по ул. Жарокова",Алматы,76.902858,43.205925
"г. Алматы мкр. Баян аул, 57 А, (ул. Толе би, уг. ул. Яссауи)",Алматы,76.822387,43.238805
"мкр. Жетысу-4, д. 13а (ул. Момышулы уг. пр. Абая)",Алматы,76.838332,43.217949
"г. Алматы Отделение ""Есентай"" мкр. Коктем 2, д. 2, (ул. Тимирязева-бульвар Мусрепова)",Атырауская область,51.954038,47.182926
"г. Алматы мкр. Орбита 3, д. 52, по ул. Саина",Алматы,76.870824,43.198597
"г. Алматы мкр. Орбита-1, ул. Навои, 6",Алматы,76.880715,43.220051
"г. Алматы ТД ""НУР"" мкр. Орбита-3, ул. Мустафина 5 б. ",Алматы,76.879511,43.198854
"г. Алматы мкр. Первомайский, ул. Капчагайская, 34",Алматы,76.991827,43.33286
"г. Алматы ТРЦ ""Dostyk Plaza"" мкр. Самал-2, д. 111",Алматы,76.956425,43.233432
"г. Алматы ТРЦ ""Ритц Палас"" мкр. Самал-3, д. 1, пр. Аль-Фараби, уг. пр. Достык",Алматы,76.959138,43.227843
"м-н Заря Востока третий градокомплекс, 166",Алматы,76.88385,43.28629
"ТРЦ ""Глобус"" со стороны Абая пр. Абая, 109-В, уг. ул. Ауэзова",Алматы,76.905724,43.240381
"г. Алматы ТД ""Арена"" пр. Абая, 141",Алматы,76.895995,43.239527
"пр. Абая, 44а, уг. ул. Байтурсынова",Алматы,76.925244,43.240132
"г. Алматы пр. Абылай хана, 147, уг. пр. Абая",Алматы,76.942537,43.243179
"г. Алматы ТЦ ""Алтын Тараз"" пр. Абылай хана, 3 (возле ЖД Вокзала-2)",Алматы,76.93809,43.272816
"г. Алматы пр. Абылай Хана, 92, уг. ул. Кабанбай батыра",Алматы,76.942941,43.250383
"г. Алматы пр. Аль-Фараби, 34",Алматы,76.944046,43.226949
"г. Алматы ТЦ ""Есентай Тауэрс"" пр. Аль-Фараби, 77/7",Алматы,76.929188,43.219066
"пр. Достык, 48, уг. ул. Шевченко",Алматы,76.957044,43.246351
"г. Алматы ТРЦ ""Maxima"" пр. Райымбека, 239 г, уг. ул. Боткина",Алматы,76.89975,43.264492
"г. Алматы Торговый Комплекс ""Huseinoff"" пр. Суюнбая, 419 А, уг ул. Бекмаханова",Алматы,76.969477,43.346268
"г. Алматы Отделение ""Орталык"" пр. Фурманова, 88",Тюменская область,69.496563,56.118811
"г. Алматы Гипермаркет ""Рамстор"" ул Фурманова, д. 226 Б",Алматы,76.951116,43.233025
"г. Алматы Супермаркет ""Рамстор"" ул. Алтынсарина, 11-А",Алматинская область,78.435168,45.042515
"ул. Ахметова, 4, уг. ул. Майлина",Алматы,77.009632,43.34596
"г. Алматы ул. Байсеитовой, 49, ниже площади Республики",Алматы,76.944827,43.239521
"ул. Васнецова, д. 23-27/92, уг. ул. Туркебаева",Алматы,76.880688,43.249253
"Супермаркет ""ИнтерФуд"" ул. Гоголя, 15, уг. ул. Калдаякова",Алматы,76.96053,43.261321
"г. Алматы ул. Демьяна Бедного, 3, уг. пр. Рыскулова",Алматы,76.952328,43.293679
"ул. Джандосова, 25, уг. ул. Гагарина",Жамбылская область,69.750858,43.564782
"Магазин ""Sulpak"" ул. Джандосова, 34 а, уг. ул. Ауэзова",Алматинская область,76.679986,43.225924
"г. Алматы ТД ""Массато"" ул. Джандосова, д. 162А",Алматинская область,76.679986,43.225924
"ТД ""Mассато"" ул. Жандосова, 162А, уг. ул. Берегового",Алматы,76.86883,43.211083
"ул. Жарокова, д. 127/99, уг. пр. Абая",Алматы,77.00868,43.37246
"г. Алматы ул. Жибек Жолы, 45/63, уг. ул. Валиханова",Алматы,76.95055,43.262575
"г. Алматы ТЦ ""Квартал"" ул. Жибек Жолы, 52, уг. пр. Достык",Алматы,76.957485,43.244873
"г. Алматы ул. Жибек Жолы, 60, уг. ул. Пушкина",Алматы,76.893605,43.180193
"г. Алматы Торговый Пассаж ""Silk Way"" ул. Жибек Жолы, 70",Алматы,76.947729,43.262162
"ТЦ ""Армада"" ул. Кабдолова, 1/8, уг. ул. Саина",Алматы,76.860287,43.210952
"г. Алматы ул. Казыбек би, 53",Алматы,76.948645,43.256995
"г. Алматы ул. Казыбек би, 53, уг. ул. Тулебаева",Алматы,76.947585,43.259654
"г. Алматы ул. Карасай батыра, 134, уг. ул. Байзакова",Алматы,76.911751,43.253607
"г. Алматы Международный Аэропорт Алматы ул. Майлина, 1",Алматы,77.010359,43.348176
"г. Алматы ТРЦ ""МEGA PARK"" ул. Макатаева, 127",Алматы,76.945456,43.238286
"ул. Макатаева, 88. уг. ул. Панфилова. ",Алматы,76.94277,43.263567
"ул. Масанчи, 99, уг. ул. Сатпаева",Алматы,76.931029,43.237761
"г. Алматы ул. Наурызбай батыра, д. 7 Б, уг. ул. Маметовa",Алматы,76.934119,43.267913
"г. Алматы Супермаркет ""Магнум"" ул. Радостовца, 292",Алматы,76.895312,43.212844
"г. Алматы ТРК ""Mega Center Alma-Ata"" ул. Розыбакиева, 247, уг. ул. Левитана",Алматы,76.893677,43.204315
"г. Алматы ул. Розыбакиева, 281",Алматы,76.893848,43.197677
"ТРЦ ""АДК"" (вход со стороны паркинга) ул. Сатпаева, 90, уг. ул. Брусиловского",Алматы,76.879376,43.232414
"г. Алматы ул. Северное кольцо, 3, в ТЦ ""Адем""",Алматы,76.888575,43.280121
"Супермаркет ""GREEN"" ул. Суюнбая, 2, ниже пр. Райымбека",Алматы,76.947801,43.273453
"г. Алматы ЦБО Мерей ул. Суюнбая, д. 2",Алматы,76.969657,43.244033
"г. Алматы Оптомаркет ""Арзан"" ул. Ташкенсткая, 507 ""А""",Алматы,76.817662,43.241629
"г. Алматы ТРЦ ""Asia park"" ул. Ташкентская, 514 А (цокольный этаж)",Алматы,76.945456,43.238286
"г. Алматы ТЦ ""Коктем"" ул. Тимирязева, 37",Алматы,76.928289,43.227442
"Гипермаркет ""Рамстор-Атакент"" ул. Тимирязева, 42, уг. ул. Манаса",Алматы,76.910853,43.225044
"г. Алматы ул. Толе би, 101, уг. ул. Байтурсынова",Алматы,76.924858,43.25385
"г. Алматы ТРК ""Сити Центр"" ул. Толе би, 136, уг. ул. Байзакова",Алматы,76.911787,43.252858
"г. Алматы ул. Толе би, 155-А, уг. ул. Жумалиева",Алматы,76.912838,43.253232
"г. Алматы Ул. Толе би, 187, уг. ул. Ауэзова",Алматы,76.899462,43.252103
"г. Алматы ул. Толе би, 71, уг. ул. Наурызбай батыра",Алматы,76.935979,43.25471
"г. Алматы ул. Толе би, 83, уг. ул. Сейфуллина",Алматы,76.931748,43.254395
"г. Алматы ул. Толстого, 8",Алматы,76.950172,43.334283
"г. Алматы ТЦ ""Colibri"" ул. Уалиханова, 170",Алматы,76.802633,43.247717
"ул. Фурманова, 240г, уг. ул. Аль-фараби",Алматы,76.950972,43.228585
"г. Алматы БЦ ""Аврора"" ул. Ходжанова, 79",Алматы,76.91203,43.208179
"ТРЦ ""Манго"" ул. Шолохова, 29/9-А, уг. пр. Сейфуллина",Алматы,76.946085,43.336761
"г. Алматы ТД ""Сатти"" ул. Яссауи, 68",Алматы,76.828415,43.224703
